user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
TBYAF,To Be Young and Free,7.95388E+17,2016-11-06 22:11,/TBYAF/status/795388241893531648,2,0,2,"""Oh come to the altar."" Thank you for leading us in worship @willwalkermusic and @compassionca #TBYAF2016 #OutLoud #LiveLoveWorshippic.twitter.com/vso3Ywfonl","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""Oh come to the altar."" Thank you for leading us in worship <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""126168058"" dir=""ltr"" href=""/willwalkermusic""><s>@</s><b>willwalkermusic</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>compassionca</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TBYAF2016?src=hash""><s>#</s><b>TBYAF2016</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/OutLoud?src=hash""><s>#</s><b>OutLoud</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LiveLoveWorship?src=hash""><s>#</s><b>LiveLoveWorship</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vso3Ywfonl"">pic.twitter.com/vso3Ywfonl</a></p>"
,,,,,,,,,
henrywhitemusic,Henry White,7.95307E+17,2016-11-06 16:47,/henrywhitemusic/status/795306522289049600,0,0,0,@compassionca Sharing love with Abundant Life church in Calgary https://www.instagram.com/p/BMedZdrA3ks/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>compassionca</strong></b></a> Sharing love with Abundant Life church in Calgary <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BMedZdrA3ks/"" dir=""ltr"" href=""https://t.co/TtpHo5IHhG"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BMedZdrA3ks/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BMedZdrA3ks/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
jd4compassion,Jennifer Doiron,7.95296E+17,2016-11-06 16:06,/jd4compassion/status/795296432253177856,3,0,0,Amazing to fellowship with Compassion Canada president Barry Slauenwhite and hearing about his passion!!! @CompassionCA pic.twitter.com/cN8kHNC3Um,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Amazing to fellowship with Compassion Canada president Barry Slauenwhite and hearing about his passion!!! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cN8kHNC3Um"">pic.twitter.com/cN8kHNC3Um</a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95296E+17,2016-11-06 16:05,/HillsideMoncton/status/795295947370729472,0,0,0,"""The most loving & strategic intervention that can be done for children is to bring them...to their heavenly father!"" @bslauen
@CompassionCA","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""The most loving &amp; strategic intervention that can be done for children is to bring them...to their heavenly father!"" <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a></p>"
,,,,,,,,,
HillsideMoncton,Hillside Church,7.95295E+17,2016-11-06 16:01,/HillsideMoncton/status/795295088620486656,0,0,0,Poverty is a spiritual war.  The enemy sees children as having a target on their back.  Defeat the next generation @bslauen @CompassionCA pic.twitter.com/JrjtYEURfv,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Poverty is a spiritual war.  The enemy sees children as having a target on their back.  Defeat the next generation <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217253799"" dir=""ltr"" href=""/bslauen""><s>@</s><b>bslauen</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/JrjtYEURfv"">pic.twitter.com/JrjtYEURfv</a></p>"
,,,,,,,,,
