user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
PlanCanada,Plan Int'l Canada,7.99033E+17,2016-11-16 23:35,/PlanCanada/status/799033082921840640,3,0,1,Proud to work w/ @worldvisioncan @SaveChildrenCan @CanadaDev @JNJGlobalHealth to ensure babies are #BornOnTime.https://twitter.com/JNJGlobalHealth/status/798616009544339456 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Proud to work w/ <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""94176238"" dir=""ltr"" href=""/worldvisioncan""><s>@</s><b>worldvisioncan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""42704025"" dir=""ltr"" href=""/SaveChildrenCan""><s>@</s><b>SaveChildrenCan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""104532480"" dir=""ltr"" href=""/CanadaDev""><s>@</s><b>CanadaDev</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1640509020"" dir=""ltr"" href=""/JNJGlobalHealth""><s>@</s><b>JNJGlobalHealth</b></a> to ensure babies are <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BornOnTime?src=hash""><s>#</s><b>BornOnTime</b></a>.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/JNJGlobalHealth/status/798616009544339456"" dir=""ltr"" href=""https://t.co/9JirtrVn5v"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/JNJGlobalHealth/status/798616009544339456""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/JNJGlobalHealt</span><span class=""invisible"">h/status/798616009544339456</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
,,,,,,,,,
criseboro,Caroline Riseboro,7.99028E+17,2016-11-16 23:15,/criseboro/status/799028069822582784,3,0,3,Motivating to see how Canadian support of @PlanCanada’s #GiftsofHope empowers female entrepreneurs in #ElSalvador. http://bit.ly/2f1eyeh ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Motivating to see how Canadian support of <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a>’s <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GiftsofHope?src=hash""><s>#</s><b>GiftsofHope</b></a> empowers female entrepreneurs in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ElSalvador?src=hash""><s>#</s><b>ElSalvador</b></a>. <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2f1eyeh"" dir=""ltr"" href=""https://t.co/0QdrjEaPKi"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2f1eyeh""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2f1eyeh</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
PlanCanada,Plan Int'l Canada,7.99017E+17,2016-11-16 22:30,/PlanCanada/status/799016837203849216,4,0,4,Holiday shopping starts HERE! 45+ #GiftsofHope that'll bring joy to your loved ones & empower children worldwide: http://bit.ly/2ghw17q pic.twitter.com/yyEFSE5Bfy,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Holiday shopping starts HERE! 45+ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GiftsofHope?src=hash""><s>#</s><b>GiftsofHope</b></a> that'll bring joy to your loved ones &amp; empower children worldwide: <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2ghw17q"" dir=""ltr"" href=""https://t.co/XE4PQyKoQG"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2ghw17q""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2ghw17q</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/yyEFSE5Bfy"">pic.twitter.com/yyEFSE5Bfy</a></p>"
,,,,,,,,,
PlanCanada,Plan Int'l Canada,7.98923E+17,2016-11-16 16:16,/PlanCanada/status/798922817769271296,0,0,0,Thank YOU for sharing in our commitment to children's rights around the world!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank YOU for sharing in our commitment to children's rights around the world!</p>"
,,,,,,,,,
glenpyle,Glen Pyle,8.02949E+17,2016-11-27 18:54,/glenpyle/status/802948741112074242,4,0,1,#Celebrity sighting @ #Waterdown #Fortinos! Thx @TedMcMeekin for supporting Kepler & Radley's campaign for @PlanCanada @biaagcanada #hamontpic.twitter.com/u7eN9GJQa4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Celebrity?src=hash""><s>#</s><b>Celebrity</b></a> sighting @ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Waterdown?src=hash""><s>#</s><b>Waterdown</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Fortinos?src=hash""><s>#</s><b>Fortinos</b></a>! Thx <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""91201741"" dir=""ltr"" href=""/TedMcMeekin""><s>@</s><b>TedMcMeekin</b></a> for supporting Kepler &amp; Radley's campaign for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44375245"" dir=""ltr"" href=""/biaagcanada""><s>@</s><b>biaagcanada</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hamont?src=hash""><s>#</s><b>hamont</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/u7eN9GJQa4"">pic.twitter.com/u7eN9GJQa4</a></p>"
,,,,,,,,,
